Geography,Date Interval,Date,Units,BodyType,Keepership,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas,Others,Total
United Kingdom,Monthly,March 2021,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,April 2021,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,May 2021,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.5
United Kingdom,Monthly,June 2021,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,[low],[low],0.0,0.4
United Kingdom,Monthly,July 2021,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,August 2021,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.2
United Kingdom,Monthly,September 2021,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,0.1,0.0,[low],0.0,0.0,0.6
United Kingdom,Monthly,October 2021,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,[low],[low],0.0,0.4
United Kingdom,Monthly,November 2021,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,[low],[low],0.0,0.4
United Kingdom,Monthly,December 2021,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,January 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,February 2022,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,[low],0.0,0.3
